IMF,DTW距离,中心频率,权重
IMF1,209.5687534026944,0.00020597347928581771,0.5
IMF2,170.70115602300268,0.0413464720721227,0.25
IMF3,91.35299265012982,0.16139887797017988,0.125
IMF4,36.1409106937076,0.28817051992113935,0.0625
IMF5,37.92744465707432,0.3365881297900045,0.0625
