策略,指标,mean,std,ci95_low,ci95_high,ci95_margin
源域直测,MAE,11.261656188964844,0.4419353910877605,10.71292092431907,11.810391453610618,0.5487352646457739
源域直测,RMSE,16.537623201314258,0.5259709315921178,15.88454403145463,17.190702371173888,0.6530791698596288
源域直测,CV-RMSE,13.994857202161853,0.44509951584425744,13.442193157720112,14.547521246603594,0.5526640444417413
源域直测,MAPE,8.906408935190163,0.37644265898593365,8.43899363813923,9.373824232241095,0.4674152970509314
源域直测,R2,0.8337511777877807,0.010453395987479219,0.82077157233116,0.8467307832444014,0.012979605456620656
目标域训练,MAE,9.912888336181641,0.5644348360956848,9.212049920869585,10.613726751493697,0.7008384153120556
目标域训练,RMSE,14.00221272918561,0.6474057493085806,13.198352318039012,14.806073140332208,0.8038604111465976
目标域训练,CV-RMSE,11.84928240738201,0.5478629488131124,11.169020707891015,12.529544106873004,0.6802616994909946
目标域训练,MAPE,7.963627880734909,0.38310436725542013,7.48794098035922,8.439314781110598,0.47568690037568906
目标域训练,R2,0.8807120680809021,0.01114458828495422,0.8668742340326709,0.8945499021291332,0.013837834048231114
全层微调,MAE,6.745475101470947,0.12426878534675534,6.591175024605369,6.899775178336525,0.15430007686557787
全层微调,RMSE,10.640060971155613,0.2182840414360682,10.369025535522027,10.911096406789198,0.27103543563358506
全层微调,CV-RMSE,9.004083120105474,0.18472146524452127,8.774721127015903,9.233445113195044,0.22936199308957037
全层微调,MAPE,5.44825429415353,0.06660344234177694,5.365555197641306,5.530953390665755,0.08269909651222479
全层微调,R2,0.9312147259712219,0.0027912669682176776,0.9277489102674107,0.9346805416750331,0.003465815703811267
冻结LSTM微调,MAE,8.178531551361084,0.6400205230012669,7.383841109838865,8.973221992883303,0.7946904415222187
冻结LSTM微调,RMSE,13.462334144493443,0.8395405027917565,12.41990692714303,14.504761361843856,1.0424272173504128
冻结LSTM微调,CV-RMSE,11.392413629607963,0.7104557474176862,10.510266305722475,12.274560953493452,0.8821473238854896
冻结LSTM微调,MAPE,6.453582813059164,0.5305220559943169,5.794852675877978,7.11231295024035,0.658730137181186
冻结LSTM微调,R2,0.8895792007446289,0.014169137091911421,0.871985893331989,0.9071725081572689,0.017593307412640022
冻结特征回归,MAE,8.018678665161133,0.5875573476162491,7.289129859745941,8.748227470576325,0.7295488054151922
冻结特征回归,RMSE,12.983567834386694,0.9119092599241272,11.851282936710264,14.115852732063123,1.1322848976764295
冻结特征回归,CV-RMSE,10.987260720898723,0.7716973423939811,10.02907191333859,11.945449528458855,0.9581888075601315
冻结特征回归,MAPE,6.390374452914541,0.49019444498334985,5.781717658459239,6.999031247369843,0.6086567944553024
冻结特征回归,R2,0.8972078919410705,0.014498314027417424,0.8792058573785737,0.9152099265035674,0.018002034562496872
