HORIZON,策略,MAE,RMSE,CV-RMSE,MAPE,R2
1,目标域训练,9.624495506286621,13.672050476074219,11.569884300231934,7.735243114430726,0.8864653706550598
1,全层微调,6.639598846435547,10.638320922851562,9.002610206604004,5.393939265383198,0.931260347366333
6,目标域训练,12.05434513092041,17.584075927734375,14.998602867126465,9.352046045254765,0.8083995580673218
6,全层微调,9.463074684143066,14.042513847351074,11.977773666381836,7.806086459614124,0.8778067827224731
12,目标域训练,11.615224838256836,16.511146545410156,14.348217964172363,9.458791259862496,0.8056745529174805
12,全层微调,9.42105770111084,14.476298332214355,12.579931259155273,7.914223822388272,0.8506207466125488
24,目标域训练,11.067638397216797,15.776256561279297,13.702956199645996,9.08162089493271,0.8185890316963196
24,全层微调,8.987102508544922,13.350738525390625,11.596197128295898,7.277190136117816,0.8700829148292542
