策略,MAE,RMSE,CV-RMSE,MAPE,R2
源域直测,11.676471710205078,17.007779304917076,14.392723779030248,9.377677900403535,0.8243062496185303
目标域训练,9.624495506286621,13.67205022209144,11.569884510595763,7.735243114430726,0.8864653706550598
全层微调,6.639598846435547,10.638321368090066,9.0026109922069,5.393939265383198,0.931260347366333
冻结LSTM微调,8.249588012695312,13.30420809838,11.25860048074361,6.666873194750905,0.892492413520813
冻结特征回归,8.190754890441895,13.224248657805727,11.19093531875632,6.627041275519667,0.8937807679176331
