策略,指标,mean,std,ci95_low,ci95_high,ci95_margin
源域直测,MAE,11.997673416137696,0.5178768126672828,11.354644422344215,12.640702409931176,0.6430289937934813
源域直测,RMSE,17.593866111027985,0.7548650182930741,16.656577394310048,18.531154827745922,0.9372887167179378
源域直测,CV-RMSE,14.8886959667955,0.6387996636106285,14.095521422425508,15.681870511165494,0.7931745443699939
源域直测,MAPE,9.591713935302014,0.4058445338499464,9.087791388752745,10.095636481851283,0.5039225465492683
源域直测,R2,0.8117119669914246,0.015780457706400554,0.7921179407822098,0.8313059932006394,0.01959402620921475
目标域训练,MAE,9.237529754638672,0.4245129342368697,8.710427327424908,9.764632181852436,0.5271024272137642
目标域训练,RMSE,13.63856743203711,0.5888478590000472,12.907416245097384,14.369718618976837,0.7311511869397264
目标域训练,CV-RMSE,11.541549914999033,0.49830871100325347,10.922817928554968,12.160281901443097,0.6187319864440649
目标域训练,MAPE,7.516169903123824,0.20981316570483935,7.255652448918964,7.776687357328685,0.26051745420486017
目标域训练,R2,0.8868522882461548,0.009574208715003184,0.8749643379734466,0.898740238518863,0.011887950272708198
全层微调,MAE,6.4446024894714355,0.17076232323854557,6.232573060456499,6.656631918486372,0.21202942901493646
全层微调,RMSE,10.638170759924465,0.26050999287452903,10.314704880599843,10.961636639249088,0.3234658793246224
全层微调,CV-RMSE,9.002483541016035,0.22045490489380012,8.728752622381968,9.276214459650102,0.27373091863406696
全层微调,MAPE,5.231682389866101,0.14458355045023638,5.052158200539565,5.411206579192638,0.1795241893265365
全层微调,R2,0.9312293291091919,0.0033840588283941,0.9270274650941713,0.9354311931242124,0.004201864015020572
固定时序表征微调,MAE,8.145742321014405,0.2591235126370357,7.823997984284898,8.46748665774391,0.321744336729506
固定时序表征微调,RMSE,12.981801794461637,0.5908077815056211,12.24821704230747,13.715386546615804,0.7335847521541667
固定时序表征微调,CV-RMSE,10.985766220977933,0.4999672828100307,10.364974845632958,11.606557596322908,0.620791375344976
固定时序表征微调,MAPE,6.671668562841719,0.18999351600279243,6.435760454128901,6.907576671554538,0.23590810871281856
固定时序表征微调,R2,0.897470211982727,0.009344428771050779,0.8858675711939338,0.9090728527715203,0.011602640788793219
固定特征回归,MAE,6.771501922607422,0.08746986993004938,6.662893734187714,6.880110111027131,0.10860818841970851
固定特征回归,RMSE,11.180849989910461,0.17856219371421936,10.959135742535228,11.402564237285695,0.22171424737523304
固定特征回归,CV-RMSE,9.46172234684574,0.1511071072496476,9.274098091901136,9.649346601790343,0.1876242549446028
固定特征回归,MAPE,5.435625358736179,0.1054818931926413,5.304652289496501,5.566598427975857,0.13097306923967766
固定特征回归,R2,0.9240549802780151,0.0024227766577049037,0.9210467057264545,0.9270632548295757,0.0030082745515606292
